"Sendinblue : THE all-in-one plugin for your marketing and transactional emails.","Sendinblue : THE all-in-one plugin for your marketing and transactional emails."
"About Sendinblue","About Sendinblue"
"For further informations, please visit our website","For further informations, please visit our website"
"With the Sendinblue plugin, you can find everything you need to easily and efficiently send your email &amp; SMS campaigns to your prospects and customers.","With the Sendinblue plugin, you can find everything you need to easily and efficiently send your email &amp; SMS campaigns to your prospects and customers."
"Synchronize your subscribers with Sendinblue (subscribed contacts)","Synchronize your subscribers with Sendinblue (subscribed contacts)"
"Easily create good looking emailings","Easily create good looking emailings"
"Schedule your campaigns","Schedule your campaigns"
"Track your results and optimize","Track your results and optimize"
"Monitor your transactional emails (purchase confirmation, password reset, etc) with a better deliverability and real-time analytics","Monitor your transactional emails (purchase confirmation, password reset, etc) with a better deliverability and real-time analytics"
"Why should you use Sendinblue ?","Why should you use Sendinblue ?"
"Optimized deliverability","Optimized deliverability"
"Unbeatable pricing &ndash; best value in the industry","Unbeatable pricing &ndash; best value in the industry"
"Technical support, by phone or by email","Technical support, by phone or by email"
"Prerequisites","Prerequisites"
"You should have a Sendinblue account. You can create a free account here : ","You should have a Sendinblue account. You can create a free account here : "
"Settings","Settings"
"Activate the Sendinblue module","Activate the Sendinblue module"
"API key v2","API key v2"
"Please enter your API key from your Sendinblue account and if you don't have it yet, please go to www.sendinblue.com and subscribe. You can then get the API key from https://my.sendinblue.com/advanced/apikey","Please enter your API key from your Sendinblue account and if you don't have it yet, please go to www.sendinblue.com and subscribe. You can then get the API key from https://my.sendinblue.com/advanced/apikey"
"Activate Sendinblue to manage subscribers","Activate Sendinblue to manage subscribers"
"Activate Sendinblue to manage subscribers","Activate Sendinblue to manage subscribers"
"Your lists","Your lists"
"Update","Update"
"Select the contact list where you want to save the contacts of your site Magento. By default, we have created a list Magento in your Sendinblue account and we have selected it","Select the contact list where you want to save the contacts of your site Magento. By default, we have created a list Magento in your Sendinblue account and we have selected it"
"With this option, contacts are directly added to your list when they enter their email address. No confirmation email is sent.","With this option, contacts are directly added to your list when they enter their email address. No confirmation email is sent."
"This confirmation email is one of your SMTP templates. By default, we have created a Default Template - Single Confirmation.","This confirmation email is one of your SMTP templates. By default, we have created a Default Template - Single Confirmation."
"By selecting this option, contacts are directly added to your list when they enter their email address on the form. A confirmation email will automatically be sent following their subscription.","By selecting this option, contacts are directly added to your list when they enter their email address on the form. A confirmation email will automatically be sent following their subscription."
"Select Template","Select Template"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter","Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter"
"If you select the Double Opt-in confirmation, subscribers will receive an email inviting them to confirm their subscription. Before confirmation, the contact will be saved in the 'FORM' folder, on the 'Temp - DOUBLE OPT-IN' list. After confirmation, the contact will be saved in the 'Corresponding List' selected above.","If you select the Double Opt-in confirmation, subscribers will receive an email inviting them to confirm their subscription. Before confirmation, the contact will be saved in the 'FORM' folder, on the 'Temp - DOUBLE OPT-IN' list. After confirmation, the contact will be saved in the 'Corresponding List' selected above."
"Once the form has been completed, your contact will receive an email with a link to confirm their subscription.","Once the form has been completed, your contact will receive an email with a link to confirm their subscription."
"Default Template","Default Template"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter","Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter"
"Redirect URL after clicking in the validation email","Redirect URL after clicking in the validation email"
"Redirect your contacts to a landing page or to your website once they have clicked on the confirmation link in the email.","Redirect your contacts to a landing page or to your website once they have clicked on the confirmation link in the email."
"Once a contact has clicked in the double opt-in confirmation email, send them a final confirmation email","Once a contact has clicked in the double opt-in confirmation email, send them a final confirmation email"
"Select Template","Select Template"
